UniprotAccession,proteinAtLocation,total,unique
A2RUS2,"p-S472,S490-DENND3 [cytosol]",2,1
A2VEC9,glc-fuc-SSPPO [endoplasmic reticulum lumen],1,1
A2VEC9,O-fuc-SSPO [endoplasmic reticulum lumen],1,1
A6NHL2,AcK-TUBAL3 [cytosol],1,1
A6NMZ7,GlcGalHyl-COL6A6(?-2263) [extracellular region],1,1
A6NMZ7,GlcGalHyl-COL6A6(20-?) [extracellular region],1,1
A6NMZ7,GlcGalHyl-COL6A6 [extracellular region],1,1
A6NMZ7,GlcGalHyl-COL6A6 [endoplasmic reticulum lumen],1,1
A6NMZ7,GalHyl-COL6A6(?-2263) [extracellular region],1,1
A6NMZ7,GalHyl-COL6A6(20-?) [extracellular region],1,1
A6NMZ7,GalHyl-COL6A6 [extracellular region],1,1
A6NMZ7,GalHyl-COL6A6 [endoplasmic reticulum lumen],1,1
A6NMZ7,5Hyl-COL6A6(?-2263) [extracellular region],1,1
A6NMZ7,5Hyl-COL6A6(20-?) [extracellular region],1,1
A6NMZ7,5Hyl-COL6A6 [extracellular region],1,1
A6NMZ7,5Hyl-COL6A6 [endoplasmic reticulum lumen],1,1
A6NMZ7,4Hyp-GlcGalHyl-COL6A6(?-2263) [extracellular region],2,2
A6NMZ7,4Hyp-GlcGalHyl-COL6A6(20-?) [extracellular region],2,2
A6NMZ7,4Hyp-GlcGalHyl-COL6A6 [extracellular region],2,2
A6NMZ7,4Hyp-GlcGalHyl-COL6A6 [endoplasmic reticulum lumen],2,2
A6NMZ7,4Hyp-GalHyl-COL6A6(?-2263) [extracellular region],2,2
A6NMZ7,4Hyp-GalHyl-COL6A6(20-?) [extracellular region],2,2
A6NMZ7,4Hyp-GalHyl-COL6A6 [extracellular region],2,2
A6NMZ7,4Hyp-GalHyl-COL6A6 [endoplasmic reticulum lumen],2,2
A6NMZ7,4Hyp-COL6A6(?-2263) [extracellular region],1,1
A6NMZ7,4Hyp-COL6A6(20-?) [extracellular region],1,1
A6NMZ7,4Hyp-COL6A6 [extracellular region],1,1
A6NMZ7,4Hyp-COL6A6 [endoplasmic reticulum lumen],1,1
A6NMZ7,4Hyp-5Hyl-COL6A6(?-2263) [extracellular region],2,2
A6NMZ7,4Hyp-5Hyl-COL6A6(20-?) [extracellular region],2,2
A6NMZ7,4Hyp-5Hyl-COL6A6 [extracellular region],2,2
A6NMZ7,4Hyp-5Hyl-COL6A6 [endoplasmic reticulum lumen],2,2
A6NMZ7,3Hyp-4Hyp-GlcGalHyl-COL6A6(?-2263) [extracellular region],3,3
A6NMZ7,3Hyp-4Hyp-GlcGalHyl-COL6A6(20-?) [extracellular region],3,3
A6NMZ7,3Hyp-4Hyp-GlcGalHyl-COL6A6 [extracellular region],3,3
A6NMZ7,3Hyp-4Hyp-GlcGalHyl-COL6A6 [endoplasmic reticulum lumen],3,3
A6NMZ7,3Hyp-4Hyp-GalHyl-COL6A6(?-2263) [extracellular region],3,3
A6NMZ7,3Hyp-4Hyp-GalHyl-COL6A6(20-?) [extracellular region],3,3
A6NMZ7,3Hyp-4Hyp-GalHyl-COL6A6 [extracellular region],3,3
A6NMZ7,3Hyp-4Hyp-GalHyl-COL6A6 [endoplasmic reticulum lumen],3,3
A6NMZ7,3Hyp-4Hyp-COL6A6(?-2263) [extracellular region],2,2
A6NMZ7,3Hyp-4Hyp-COL6A6 [extracellular region],4,2
A6NMZ7,3Hyp-4Hyp-COL6A6 [endoplasmic reticulum lumen],2,2
A6NMZ7,3Hyp-4Hyp-5Hyl-COL6A6(?-2263) [extracellular region],3,3
A6NMZ7,3Hyp-4Hyp-5Hyl-COL6A6 [extracellular region],6,3
A6NMZ7,3Hyp-4Hyp-5Hyl-COL6A6 [endoplasmic reticulum lumen],3,3
A8TX70,GlcGalHyl-COL6A5(?-2615) [extracellular region],1,1
A8TX70,GlcGalHyl-COL6A5(19-?) [extracellular region],1,1
A8TX70,GlcGalHyl-COL6A5 [extracellular region],1,1
A8TX70,GlcGalHyl-COL6A5 [endoplasmic reticulum lumen],1,1
A8TX70,GalHyl-COL6A5(?-2615) [extracellular region],1,1
A8TX70,GalHyl-COL6A5(19-?) [extracellular region],1,1
A8TX70,GalHyl-COL6A5 [extracellular region],1,1
A8TX70,GalHyl-COL6A5 [endoplasmic reticulum lumen],1,1
A8TX70,5Hyl-COL6A5(?-2615) [extracellular region],1,1
A8TX70,5Hyl-COL6A5(19-?) [extracellular region],1,1
A8TX70,5Hyl-COL6A5 [extracellular region],1,1
A8TX70,5Hyl-COL6A5 [endoplasmic reticulum lumen],1,1
A8TX70,4Hyp-GlcGalHyl-COL6A5(?-2615) [extracellular region],2,2
A8TX70,4Hyp-GlcGalHyl-COL6A5(19-?) [extracellular region],2,2
A8TX70,4Hyp-GlcGalHyl-COL6A5 [extracellular region],2,2
A8TX70,4Hyp-GlcGalHyl-COL6A5 [endoplasmic reticulum lumen],2,2
A8TX70,4Hyp-GalHyl-COL6A5(?-2615) [extracellular region],2,2
A8TX70,4Hyp-GalHyl-COL6A5(19-?) [extracellular region],2,2
A8TX70,4Hyp-GalHyl-COL6A5 [extracellular region],2,2
A8TX70,4Hyp-GalHyl-COL6A5 [endoplasmic reticulum lumen],2,2
A8TX70,4Hyp-COL6A5(?-2615) [extracellular region],1,1
A8TX70,4Hyp-COL6A5(19-?) [extracellular region],1,1
A8TX70,4Hyp-COL6A5 [extracellular region],1,1
A8TX70,4Hyp-COL6A5 [endoplasmic reticulum lumen],1,1
A8TX70,4Hyp-5Hyl-COL6A5(?-2615) [extracellular region],2,2
A8TX70,4Hyp-5Hyl-COL6A5(19-?) [extracellular region],2,2
A8TX70,4Hyp-5Hyl-COL6A5 [extracellular region],2,2
A8TX70,4Hyp-5Hyl-COL6A5 [endoplasmic reticulum lumen],2,2
A8TX70,3Hyp-4Hyp-GlcGalHyl-COL6A5(?-2615) [extracellular region],3,3
A8TX70,3Hyp-4Hyp-GlcGalHyl-COL6A5(19-?) [extracellular region],3,3
A8TX70,3Hyp-4Hyp-GlcGalHyl-COL6A5 [extracellular region],3,3
A8TX70,3Hyp-4Hyp-GlcGalHyl-COL6A5 [endoplasmic reticulum lumen],3,3
A8TX70,3Hyp-4Hyp-GalHyl-COL6A5(?-2615) [extracellular region],3,3
A8TX70,3Hyp-4Hyp-GalHyl-COL6A5(19-?) [extracellular region],3,3
A8TX70,3Hyp-4Hyp-GalHyl-COL6A5 [extracellular region],3,3
A8TX70,3Hyp-4Hyp-GalHyl-COL6A5 [endoplasmic reticulum lumen],3,3
A8TX70,3Hyp-4Hyp-COL6A5(?-2615) [extracellular region],2,2
A8TX70,3Hyp-4Hyp-COL6A5(19-?) [extracellular region],2,2
A8TX70,3Hyp-4Hyp-COL6A5 [extracellular region],2,2
A8TX70,3Hyp-4Hyp-COL6A5 [endoplasmic reticulum lumen],2,2
A8TX70,3Hyp-4Hyp-5Hyl-COL6A5(?-2615) [extracellular region],3,3
A8TX70,3Hyp-4Hyp-5Hyl-COL6A5(19-?) [extracellular region],3,3
A8TX70,3Hyp-4Hyp-5Hyl-COL6A5 [extracellular region],3,3
A8TX70,3Hyp-4Hyp-5Hyl-COL6A5 [endoplasmic reticulum lumen],3,3
O00141,"p-T256,S422-SGK1 [cytosol]",2,2
O00141,p-S422-SGK1 [cytosol],1,1
O00161,p-S95-SNAP23 [phagocytic vesicle membrane],1,1
O00167,p-EYA2 [nucleoplasm],1,1
O00186,p-Y521-STXBP3 [plasma membrane],1,1
O00186,p-STXBP3 [cytosol],1,1
O00194,GGC-RAB27B [melanosome membrane],2,1
O00194,GGC-RAB27B [cytosol],2,1
O00203,p-AP3B1-BRAF fusion [cytosol],4,2
O00203,AP3B1-BRAF fusion [cytosol],2,1
O00206,2xN4GlycoAsn-TLR4 [plasma membrane],2,1
O00221,"p-S157,S161-Ub-NFKBIE [cytosol]",3,2
O00221,"p-S157,S161-NFKBIE [cytosol]",2,1
O00238,p-4S-BMPR1B [plasma membrane],1,1
O00267,p-SUPT5H [nucleoplasm],1,1
O00327,p-S-ARNTL [nucleoplasm],1,1
O00400,SLC33A1 Y366* [Golgi membrane],1,1
